RowNumber,CreditScore,1Ger2Fr3Sp,Male1_Female0,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,1Dia2Gold3Silver,Points Earned
62,687,1,0,27,9,152328.88,2,0,0,126494.82,0,0,5,1,769
63,555,3,1,33,1,56084.69,2,0,0,178798.13,0,0,5,2,481
64,684,3,1,56,8,78707.16,1,1,1,99398.36,0,0,4,4,903
65,603,1,1,26,4,109166.37,1,1,1,92840.67,0,0,3,2,882
66,751,1,0,36,6,169831.46,2,1,1,27758.36,0,1,5,3,379
67,581,1,0,34,1,101633.04,1,1,0,110431.51,0,1,3,2,469
68,735,1,1,43,10,123180.01,2,1,1,196673.28,0,1,3,2,683
69,661,1,0,35,5,150725.53,2,0,1,113656.85,0,1,1,3,770
70,675,2,0,21,8,98373.26,1,1,0,18203,0,0,5,4,985
71,738,1,1,58,2,133745.44,4,1,0,28373.86,1,1,4,3,725
72,813,2,1,29,6,0,1,1,0,33953.87,0,0,3,2,259
73,657,3,0,37,0,163607.18,1,0,1,44203.55,0,0,2,3,979
74,604,1,0,25,5,157780.84,2,1,1,58426.81,0,0,2,4,988
75,519,2,1,36,9,0,2,0,1,145562.4,0,0,2,2,833
76,735,2,0,21,1,178718.19,2,1,0,22388,0,0,1,2,527
77,664,2,1,55,8,0,2,1,1,139161.64,0,0,5,4,220
78,678,2,0,32,9,0,1,1,1,148210.64,0,0,4,3,983
79,757,3,1,33,5,77253.22,1,0,1,194239.63,0,0,3,4,582
80,416,1,0,41,10,122189.66,2,1,0,98301.61,0,0,3,4,281
81,665,2,0,34,1,96645.54,2,0,0,171413.66,0,0,3,1,798
82,777,2,0,32,2,0,1,1,0,136458.19,1,1,5,4,917
83,543,2,0,36,3,0,2,0,0,26019.59,0,0,2,1,255
84,506,2,0,34,4,90307.62,1,1,1,159235.29,0,0,4,4,511
85,493,2,0,46,4,0,2,1,0,1907.66,0,0,1,4,498
86,652,3,0,75,10,0,2,1,1,114675.75,0,0,5,1,651
87,750,3,1,22,3,121681.82,1,1,0,128643.35,1,1,2,4,852
88,729,2,1,30,9,0,2,1,0,151869.35,0,0,1,1,807
89,646,2,0,46,4,0,3,1,0,93251.42,1,1,3,2,470
90,635,1,0,28,3,81623.67,2,1,1,156791.36,0,0,1,1,659
91,647,3,0,44,5,0,3,1,1,174205.22,1,1,3,1,752
92,808,2,1,45,7,118626.55,2,1,0,147132.46,0,0,1,4,559
93,524,2,0,36,10,0,2,1,0,109614.57,0,0,2,3,375
94,769,2,1,29,8,0,2,1,1,172290.61,0,0,2,1,411
95,730,3,1,42,4,0,2,0,1,85982.47,0,0,4,1,722
96,515,3,1,35,10,176273.95,1,0,1,121277.78,0,0,1,3,231
97,773,3,1,41,9,102827.44,1,0,1,64595.25,0,0,5,1,488
98,814,1,1,29,8,97086.4,2,1,1,197276.13,0,0,2,3,965
99,710,3,1,22,8,0,2,0,0,99645.04,0,0,4,4,289
100,413,2,1,34,9,0,2,0,0,6534.18,0,0,1,2,449
101,665,2,0,40,6,0,1,1,1,161848.03,0,0,2,4,651
102,623,2,0,44,6,0,2,0,0,167162.43,0,0,2,1,520
103,738,2,1,31,9,82674.15,1,1,0,41970.72,0,0,4,1,234
104,528,3,1,36,7,0,2,1,0,60536.56,0,0,5,4,458
105,670,3,0,65,1,0,1,1,1,177655.68,1,1,2,3,915
106,622,3,0,46,4,107073.27,2,1,1,30984.59,1,1,3,3,299
107,582,1,1,32,1,88938.62,1,1,1,10054.53,0,0,4,3,838
108,785,1,0,36,2,99806.85,1,0,1,36976.52,0,0,5,2,786
109,605,3,1,33,5,150092.8,1,0,0,71862.79,0,0,3,1,509
110,479,1,1,35,9,92833.89,1,1,0,99449.86,1,1,3,1,328
111,685,1,1,30,3,90536.81,1,0,1,63082.88,0,0,4,4,347
112,538,1,1,39,7,108055.1,2,1,0,27231.26,0,0,5,4,534
113,562,2,1,42,2,100238.35,1,0,0,86797.41,0,0,5,2,709
114,675,3,1,36,9,106190.55,1,0,1,22994.32,0,0,4,4,749
115,721,1,1,28,9,154475.54,2,0,1,101300.94,1,1,5,2,541
116,628,1,0,30,9,132351.29,2,1,1,74169.13,0,0,2,3,736
117,668,1,0,37,6,167864.4,1,1,0,115638.29,0,0,4,4,529
118,506,2,0,41,1,0,2,1,0,31766.3,0,0,4,3,594
119,524,1,0,31,8,107818.63,1,1,0,199725.39,1,1,1,4,462
120,699,1,1,34,4,185173.81,2,1,0,120834.48,0,0,3,2,429
121,828,2,1,34,8,129433.34,2,0,0,38131.77,0,0,4,4,370
122,674,3,1,39,6,120193.42,1,0,0,100130.95,0,0,1,2,510
123,656,2,0,39,6,0,2,1,0,141069.88,0,0,4,1,638
124,684,1,0,48,10,126384.42,1,1,1,198129.36,0,0,1,3,462
125,625,2,0,28,3,0,1,0,0,183646.41,0,0,4,3,718
126,432,2,1,42,9,152603.45,1,1,0,110265.24,1,1,3,1,437
127,549,2,0,52,1,0,1,0,1,8636.05,1,1,4,1,485
128,625,1,1,56,0,148507.24,1,1,0,46824.08,1,1,3,2,410
129,828,2,0,41,7,0,2,1,0,171378.77,0,0,2,2,666
130,770,2,1,24,9,101827.07,1,1,0,167256.35,0,0,4,3,730
131,758,2,0,34,3,0,2,1,1,124226.16,0,0,2,2,375
132,795,1,0,33,9,130862.43,1,1,1,114935.21,0,0,5,3,411
133,687,2,1,38,9,122570.87,1,1,1,35608.88,0,0,4,1,595
134,686,2,1,25,1,0,2,0,1,16459.37,0,0,1,1,578
135,789,1,1,39,7,124828.46,2,1,1,124411.08,0,0,2,2,377
136,589,1,0,50,5,144895.05,2,1,1,34941.23,0,0,2,3,831
137,461,1,0,34,5,63663.93,1,0,1,167784.28,0,0,1,4,497
138,637,2,1,40,2,133463.1,1,0,1,93165.34,0,0,1,2,374
139,584,3,0,48,2,213146.2,1,1,0,75161.25,1,0,4,1,814
140,579,3,0,35,1,129490.36,2,0,1,8590.83,1,1,4,3,247
141,756,1,1,44,10,137452.09,1,1,0,189543.9,0,0,5,2,965
142,663,2,1,34,7,0,2,1,1,180427.24,0,0,3,4,912
143,682,2,0,43,5,125851.93,1,1,1,193318.33,0,0,4,3,462
144,793,3,1,52,2,0,1,1,0,159123.82,1,1,5,3,883
145,691,2,0,31,5,40915.55,1,1,0,126213.84,1,0,2,4,402
146,485,3,0,21,5,113157.22,1,1,1,54141.5,0,0,4,3,764
147,635,3,0,29,8,138296.94,2,1,0,141075.51,0,0,1,2,608
148,650,2,1,37,5,106967.18,1,0,0,24495.03,0,0,5,2,652
149,735,2,1,44,9,120681.63,1,1,0,74836.34,0,0,2,4,520
150,416,2,1,32,0,0,2,0,1,878.87,0,0,5,3,884
151,754,3,0,32,7,0,2,1,0,89520.75,0,0,1,4,800
152,535,2,0,48,9,0,1,1,0,149892.79,1,1,4,3,697
153,716,3,1,42,8,0,2,1,0,180800.42,0,0,2,4,427
154,539,2,1,37,2,127609.59,1,1,0,98646.22,0,0,1,1,620
155,614,2,0,43,6,0,2,1,1,109041.53,0,0,1,2,318
156,706,3,1,57,7,0,1,1,0,17941.16,1,1,1,3,701
157,758,2,0,33,7,0,2,0,0,82996.47,0,0,4,2,953
158,586,3,0,28,2,0,2,1,1,92067.35,0,0,5,2,635
159,646,2,0,73,6,97259.25,1,0,1,104719.66,0,0,1,2,250
160,631,1,0,33,4,123246.7,1,0,0,112687.57,0,0,3,4,662
161,717,3,0,22,6,101060.25,1,0,1,84699.56,0,0,2,3,666
162,684,2,1,30,2,0,2,1,0,83473.82,0,0,4,1,699
163,800,2,0,49,7,108007.36,1,0,0,47125.11,0,0,3,2,855
164,721,3,0,36,2,0,2,1,1,106977.8,0,0,5,4,534
165,683,3,1,29,0,133702.89,1,1,0,55582.54,1,1,1,2,388
166,660,1,1,31,9,125189.75,2,1,1,139874.43,0,0,5,3,612
167,704,1,0,24,7,113034.22,1,1,0,162503.48,1,1,2,2,801
168,615,3,0,41,9,109013.23,1,1,0,196499.96,0,0,1,2,561
169,667,3,0,39,2,0,2,1,0,40721.24,1,1,5,2,308
170,682,1,1,24,9,57929.81,2,0,0,53134.3,0,0,5,4,643
171,484,2,0,29,4,130114.39,1,1,0,164017.89,0,0,1,3,249
172,628,1,1,27,5,95826.49,2,1,0,155996.96,0,1,2,4,818
173,480,1,1,44,10,129608.57,1,1,0,5472.7,1,1,1,3,775
174,578,2,1,30,4,169462.09,1,1,0,112187.11,0,1,5,1,872
175,512,2,1,40,5,0,2,1,1,146457.83,0,0,3,1,435
176,484,3,0,35,7,133868.21,1,1,1,27286.1,0,0,2,4,415
177,510,2,0,30,0,0,2,1,1,130553.47,0,0,2,1,430
178,606,1,1,36,5,190479.48,2,0,0,179351.89,0,0,5,2,929
179,597,3,0,40,8,101993.12,1,0,1,94774.12,0,0,5,4,681
180,754,1,0,55,3,161608.81,1,1,0,8080.85,1,1,4,3,810
181,850,3,0,45,2,122311.21,1,1,1,19482.5,0,0,5,3,739
182,510,2,1,65,2,0,2,1,1,48071.61,0,0,1,4,280
183,778,1,0,45,1,162150.42,2,1,0,174531.27,0,0,2,1,250
184,636,2,1,42,2,0,2,1,1,55470.78,0,0,4,2,991
185,804,2,0,50,4,0,1,1,1,8546.87,1,1,2,3,482
186,514,2,1,32,8,0,2,1,0,95857.18,0,0,4,2,423
187,730,2,0,39,1,99010.67,1,1,0,194945.8,0,0,5,3,260
188,525,3,0,37,0,0,1,0,1,131521.72,0,0,5,4,642
189,616,3,1,30,5,0,2,0,1,196108.51,0,0,4,2,701
190,687,1,0,34,7,111388.18,2,1,0,148564.76,0,0,4,3,570
191,715,2,0,41,8,56214.85,2,0,0,92982.61,1,1,4,3,790
192,512,2,0,36,3,84327.77,2,1,0,17675.36,0,0,5,2,727
193,479,2,1,40,1,0,2,0,0,114996.43,0,0,3,4,909
194,601,2,1,32,8,93012.89,1,1,0,86957.42,0,0,2,3,799
195,580,3,1,29,9,61710.44,2,1,0,128077.8,0,0,1,1,520
196,807,2,1,35,3,174790.15,1,1,1,600.36,0,0,3,4,861
197,616,3,0,32,6,0,2,1,1,43001.46,0,0,5,3,512
198,721,1,1,37,3,107720.64,1,1,1,158591.12,0,0,1,2,478
199,501,2,1,57,10,0,2,1,1,47847.19,0,0,5,2,374
200,521,2,1,35,6,96423.84,1,1,0,10488.44,0,0,4,2,280
201,850,3,1,30,2,141040.01,1,1,1,5978.2,0,0,2,1,615
202,759,2,1,42,4,105420.18,1,0,1,121409.06,0,0,3,3,435
203,516,3,1,50,5,0,1,0,1,146145.93,1,1,5,3,509
204,711,2,0,38,2,129022.06,2,1,1,14374.86,1,1,4,1,321
205,512,3,1,33,3,176666.62,1,1,0,94670.77,0,0,1,2,726
206,550,2,1,37,3,0,1,1,1,179670.31,0,0,3,3,516
207,608,3,0,41,3,89763.84,1,0,0,199304.74,1,1,3,2,639
208,618,2,1,34,5,134954.53,1,1,1,151954.39,0,0,2,4,512
209,643,2,1,45,5,0,1,1,0,142513.5,1,1,3,3,730
210,671,2,1,45,2,106376.85,1,0,1,158264.62,0,0,3,1,244
211,689,1,1,33,2,161814.64,2,1,0,169381.9,0,0,3,2,292
212,603,2,1,31,8,0,2,1,1,169915.02,0,0,3,3,245
213,620,2,0,41,9,0,2,0,0,88852.47,0,0,3,1,848
214,676,2,0,34,1,63095.01,1,1,1,40645.81,0,0,3,4,974
215,572,1,1,26,4,118287.01,2,0,0,60427.3,0,0,4,1,958
216,668,1,1,47,7,106854.21,1,0,1,157959.02,1,1,3,3,629
217,695,2,1,46,7,49512.55,1,1,0,133007.34,0,0,3,1,310
218,730,3,0,33,9,0,2,0,0,176576.62,0,0,1,4,621
219,807,2,1,43,1,105799.32,2,1,0,34888.04,1,1,4,1,924
220,592,2,1,54,8,0,1,1,1,28737.71,1,1,2,2,359
221,726,2,0,31,9,114722.05,2,1,1,98178.57,0,0,5,4,811
222,514,3,1,30,7,0,1,0,1,125010.24,0,0,4,1,583
223,567,2,1,42,2,0,2,1,1,167984.61,0,0,5,4,959
224,850,2,1,33,10,0,1,1,0,4861.72,1,1,1,4,359
225,671,1,1,45,6,99564.22,1,1,1,108872.45,1,1,3,2,901
226,670,2,1,37,4,170557.91,2,1,0,198252.88,0,0,5,3,729
227,694,2,0,30,9,0,2,1,1,26960.31,0,0,5,1,829
228,547,1,0,39,6,74596.15,3,1,1,85746.52,1,1,4,4,790
229,751,1,1,50,2,96888.39,1,1,0,77206.25,1,1,2,1,756
230,594,1,0,29,3,130830.22,1,1,0,61048.53,0,0,4,3,873
231,673,2,1,72,1,0,2,0,1,111981.19,0,0,3,4,865
232,610,2,1,40,0,0,2,1,0,62232.6,0,0,5,3,690
233,512,2,0,37,1,0,2,0,1,156105.03,0,0,4,2,722
234,767,1,1,20,3,119714.25,2,0,1,150135.38,0,0,4,1,535
235,585,2,0,67,5,113978.97,2,0,1,93146.11,0,0,5,4,580
236,763,1,1,42,6,100160.75,1,1,0,33462.94,1,1,3,3,709
237,712,2,0,29,2,0,1,1,1,144375,0,0,4,3,930
238,539,1,0,43,3,116220.5,3,1,0,55803.96,1,1,4,1,264
239,668,2,0,46,2,0,3,1,0,89048.46,1,1,1,1,943
240,703,2,1,28,2,81173.83,2,0,1,162812.16,0,0,2,2,388
241,662,3,1,38,4,0,2,1,0,136259.65,0,0,5,3,248
242,725,1,0,39,5,116803.8,1,1,0,124052.97,0,0,2,3,763
243,703,2,1,37,8,105961.68,2,0,1,74158.8,0,0,1,1,619
244,659,1,1,67,6,117411.6,1,1,1,45071.09,1,1,2,4,815
245,523,3,1,34,7,0,2,1,0,62030.06,0,0,4,1,566
246,635,2,0,40,10,123497.58,1,1,0,131953.23,1,1,5,3,774
247,772,1,1,26,7,152400.51,2,1,0,79414,0,0,1,2,695
248,545,2,0,26,1,0,2,1,1,199638.56,0,0,5,2,902
249,634,1,1,24,8,103097.85,1,1,1,157577.29,0,0,2,3,532
250,739,1,1,54,8,126418.14,1,1,0,134420.75,1,1,2,1,718
251,771,1,0,36,5,77846.9,1,0,0,99805.99,0,0,5,2,895
252,587,3,0,34,1,0,2,1,1,97932.68,0,0,4,1,749
253,681,2,0,79,0,0,2,0,1,170968.99,0,0,5,1,333
254,544,1,1,37,2,79731.91,1,1,1,57558.95,0,0,4,1,866
255,696,3,1,28,8,0,1,0,0,176713.47,0,0,3,4,671
256,766,3,1,41,0,0,2,0,1,34283.23,0,0,4,3,670
257,727,2,1,34,10,0,2,1,1,198637.34,0,0,4,3,768
258,671,1,0,34,6,37266.67,2,0,0,156917.12,0,0,3,4,565
259,693,2,0,30,6,127992.25,1,1,1,50457.2,0,0,1,4,483
260,850,1,1,38,3,54901.01,1,1,1,140075.55,0,0,2,3,926
261,732,1,1,42,9,108748.08,2,1,1,65323.11,0,0,1,1,932
262,726,3,0,48,6,99906.19,1,1,0,64323.24,0,0,4,1,901
263,557,2,0,32,6,184686.41,2,1,0,14956.44,0,0,3,3,299
264,682,2,0,26,0,110654.02,1,0,1,111879.21,0,0,2,2,899
265,738,3,1,31,9,79019.8,1,1,1,18606.23,0,0,4,2,467
266,531,3,0,36,9,99240.51,1,1,0,123137.01,0,0,1,2,717
267,498,2,1,34,2,0,2,1,1,148528.24,0,0,1,1,549
268,651,2,1,36,7,0,2,1,0,13898.31,0,0,1,3,545
269,549,3,0,39,7,0,1,0,0,81259.25,1,1,2,3,716
270,791,1,0,35,7,52436.2,1,1,0,161051.75,0,0,2,4,650
271,650,3,1,41,9,0,2,0,1,191599.67,0,0,4,2,693
272,733,1,1,34,3,100337.96,3,1,0,48559.19,1,1,4,2,759
273,811,1,0,34,1,149297.19,2,1,1,186339.74,0,0,2,3,946
274,707,2,1,30,8,0,2,1,0,33159.37,0,0,5,3,402
275,712,1,1,28,4,145605.44,1,0,1,93883.53,0,0,3,2,465
276,706,3,0,37,7,0,2,1,1,110899.3,0,0,1,3,799
277,756,2,1,62,3,0,1,1,1,11199.04,1,1,3,4,600
278,777,2,0,53,10,0,2,1,0,189992.97,0,0,2,2,306
279,646,2,1,35,6,84026.86,1,0,1,164255.69,0,0,3,4,635
280,714,2,1,46,1,0,1,1,0,152167.79,1,1,2,2,747
281,782,2,1,39,8,0,2,1,1,33949.67,0,0,3,2,424
282,775,3,1,29,10,0,2,1,1,68143.93,0,0,2,1,913
283,479,1,1,35,4,138718.92,1,1,1,47251.79,1,1,1,3,751
284,807,2,1,42,7,118274.71,1,1,1,25885.72,0,0,3,1,899
285,799,2,0,22,8,174185.98,2,0,1,192633.85,0,0,3,2,219
286,675,2,1,40,7,113208.86,2,1,0,34577.36,0,0,3,4,587
287,602,3,1,29,5,103907.28,1,1,0,161229.84,0,0,2,4,861
288,475,2,0,32,8,119023.28,1,1,0,100816.29,0,0,1,2,278
289,744,3,0,26,5,166297.89,1,1,1,181694.44,0,0,1,2,526
290,588,3,1,34,10,0,2,1,0,79078.91,0,0,2,2,632
291,703,1,1,42,9,63227,1,0,1,137316.32,0,0,3,4,301
292,747,3,0,41,5,94521.17,2,1,0,194926.86,0,0,1,1,806
293,583,2,1,27,7,0,2,1,0,51285.49,0,0,1,2,250
294,750,3,0,34,9,112822.26,1,0,0,150401.53,1,1,2,2,563
295,681,2,1,38,3,0,2,1,1,112491.96,0,0,1,1,861
296,773,2,1,25,2,135903.33,1,1,0,73656.38,0,0,4,2,790
297,714,2,0,31,4,125169.26,1,1,1,106636.89,0,0,3,2,669
298,687,3,0,44,7,0,3,1,0,155853.52,1,1,2,4,336
299,511,2,1,58,0,149117.31,1,1,1,162599.51,0,0,1,3,517
300,627,2,1,33,5,0,2,1,1,103737.82,0,0,4,2,499
301,694,2,0,31,10,0,2,1,0,160990.27,0,0,3,4,673
302,616,3,0,36,6,132311.71,1,0,0,15462.84,0,0,2,4,268
303,687,2,1,35,8,0,2,1,0,10334.05,0,0,5,2,809
304,712,2,0,33,6,0,2,1,1,190686.16,0,0,5,3,460
305,553,2,1,33,4,118082.89,1,0,0,94440.45,0,0,4,4,221
306,667,2,1,31,1,119266.69,1,1,1,28257.63,0,0,2,4,730
307,731,2,1,43,2,0,1,1,1,170034.95,1,1,2,1,777
308,629,1,1,35,7,156847.29,2,1,0,31824.29,0,0,4,4,837
309,614,2,1,50,4,137104.47,1,1,0,127166.49,1,1,1,1,958
310,438,1,1,31,8,78398.69,1,1,0,44937.01,0,0,4,2,809
311,652,2,0,80,4,0,2,1,1,188603.07,0,0,1,3,662
312,729,1,1,30,6,63669.42,1,1,0,145111.37,0,0,2,3,484
313,642,2,1,38,3,0,2,0,0,171463.83,0,0,2,3,737
314,806,1,0,59,0,135296.33,1,1,0,182822.5,0,0,1,4,486
315,744,3,1,36,2,153804.44,1,1,1,87213.33,0,0,3,4,252
316,474,3,1,37,3,0,2,0,0,57175.32,0,0,4,4,275
317,559,2,1,49,2,147069.78,1,1,0,120540.83,1,1,1,1,245
318,706,3,1,42,9,0,2,1,1,28714.34,0,0,4,2,361
319,628,3,0,22,3,0,1,1,0,85426.28,0,0,4,1,483
320,429,2,1,24,4,95741.75,1,1,0,46170.75,0,0,2,3,352
321,525,3,0,57,2,145965.33,1,1,1,64448.36,0,0,5,2,337
322,680,2,0,30,8,141441.75,1,1,1,16278.97,0,0,1,4,597
323,749,2,1,40,1,139290.41,1,1,0,182855.42,1,1,1,4,381
324,763,2,0,31,4,0,2,0,0,50404.72,0,0,3,2,668
325,734,2,1,30,3,0,2,1,0,107640.25,0,0,4,1,245
326,716,2,1,35,4,144428.87,1,1,0,134132.65,0,0,2,2,495
327,594,2,1,35,2,0,2,1,0,103480.69,0,0,4,1,378
328,644,2,0,46,9,95441.27,1,1,0,108761.05,1,1,1,4,568
329,671,1,1,35,1,144848.74,1,1,1,179012.3,0,0,5,2,731
330,664,1,1,26,7,116244.14,2,1,1,95145.14,0,0,2,3,837
331,656,2,1,50,7,0,2,0,1,72143.44,0,0,1,3,829
332,667,3,0,40,1,146502.07,1,1,0,19162.89,0,0,3,1,230
333,663,1,1,44,2,117028.6,2,0,1,144680.18,0,0,4,1,919
334,584,1,0,30,8,112013.81,1,1,0,177772.03,1,1,4,2,641
335,626,3,0,37,6,108269.37,1,1,0,5597.94,0,0,2,1,457
336,485,2,1,29,7,182123.79,1,1,0,116828.51,1,1,4,3,583
337,659,1,0,32,3,150923.74,2,0,1,174652.51,0,0,2,2,849
338,649,2,1,33,2,0,2,1,0,2010.98,0,0,3,1,720
339,805,3,0,39,5,165272.13,1,1,0,14109.85,1,1,3,4,317
340,716,1,0,39,10,115301.31,1,1,0,43527.4,1,1,5,1,465
341,642,1,0,40,6,129502.49,2,0,1,86099.23,1,1,4,3,269
342,659,2,1,31,4,118342.26,1,0,0,161574.19,0,0,3,4,391
343,545,3,0,47,5,0,2,1,1,38970.14,0,0,4,2,373
344,543,2,1,22,8,0,2,0,0,127587.22,0,0,3,2,251
345,718,2,0,25,7,0,2,1,0,30380.12,0,0,2,2,237
346,840,2,0,43,7,0,2,1,0,90908.95,0,0,2,4,645
347,630,1,0,34,9,106937.05,2,1,0,138275.01,0,0,3,4,624
348,643,1,1,59,3,170331.37,1,1,1,32171.79,0,0,5,2,838
349,654,1,0,32,1,114510.85,1,1,1,126143.23,0,0,4,3,224
350,582,2,1,39,5,0,2,1,1,129892.93,0,0,4,1,343
351,659,3,1,32,3,107594.11,2,1,1,102416.84,0,0,3,1,683
352,762,3,1,39,2,81273.13,1,1,1,18719.67,0,0,5,3,929
353,568,3,0,32,7,169399.6,1,1,0,61936.22,0,0,4,2,234
354,670,3,1,25,6,0,2,1,1,78358.94,0,0,3,1,723
355,613,2,0,45,1,187841.99,2,1,1,147224.27,0,0,1,2,482
356,539,2,1,30,0,0,2,1,0,160979.66,0,0,4,1,231
357,850,3,0,57,8,126776.3,2,1,1,132298.49,0,0,3,3,244
358,522,3,1,34,9,126436.29,1,1,0,174248.52,1,1,3,3,973
359,737,2,1,41,1,101960.74,1,1,1,123547.28,0,0,5,4,463
360,520,2,1,58,3,0,2,0,1,32790.02,0,0,5,1,253
361,706,3,1,28,3,0,2,0,1,181543.67,0,0,3,4,241
362,643,1,0,45,2,150842.93,1,0,1,2319.96,1,1,5,2,537
363,648,2,0,50,9,102535.57,1,1,1,189543.19,0,0,5,1,332
364,443,1,0,29,9,99027.61,2,1,0,10940.4,0,0,5,2,390
365,640,2,1,68,9,0,2,1,1,199493.38,0,0,4,2,763
366,628,3,0,33,3,0,1,1,1,188193.25,0,0,4,3,240
367,540,1,0,42,9,87271.41,2,1,0,172572.64,0,0,1,2,978
368,460,1,0,35,8,102742.91,2,1,1,189339.6,0,0,5,1,366
369,636,1,1,34,2,40105.51,2,0,1,53512.16,0,0,3,1,356
370,593,2,0,29,2,152265.43,1,1,0,34004.44,0,0,1,4,907
371,801,3,1,42,4,141947.67,1,1,1,10598.29,0,0,3,4,687
372,640,1,0,75,1,106307.91,2,0,1,113428.77,0,0,2,2,703
373,611,1,1,31,0,107884.81,2,1,1,183487.98,0,0,2,1,388
